Flight Name,Fare (INR),Departure City,Arrival City,Departure Time,Flight Number
IndiGo,"3,500",Mumbai,Delhi,9:30 AM,6.00E+102
Air India,"4,200",Mumbai,Delhi,12:45 PM,AI243
SpiceJet,"3,800",Mumbai,Delhi,7:15 PM,SG503
Vistara,"5,000",Mumbai,Delhi,11:00 AM,UK315
Go First,"3,700",Mumbai,Delhi,2:20 PM,GF786
IndiGo,"2,800",Bengaluru,Kolkata,8:00 AM,6E502
Air India,"3,600",Bengaluru,Kolkata,1:00 PM,AI315
SpiceJet,"3,200",Bengaluru,Kolkata,5:45 PM,SG214
Vistara,"4,700",Bengaluru,Kolkata,9:00 AM,UK429
Akasa Air,"2,900",Bengaluru,Kolkata,6:30 PM,AK601
SpiceJet,"3,400",Hyderabad,Chennai,7:00 AM,SG109
IndiGo,"3,000",Hyderabad,Chennai,11:30 AM,6.00E+203
AirAsia India,"2,700",Hyderabad,Chennai,4:15 PM,I5142
Go First,"3,200",Hyderabad,Chennai,8:45 PM,GF401
Vistara,"4,600",Hyderabad,Chennai,1:30 PM,UK217
IndiGo,"2,200",Jaipur,Ahmedabad,10:20 AM,6E344
Air India,"2,500",Jaipur,Ahmedabad,2:00 PM,AI110
SpiceJet,"2,150",Jaipur,Ahmedabad,7:10 PM,SG321
Go First,"2,400",Jaipur,Ahmedabad,12:30 PM,GF118
Akasa Air,"2,200",Jaipur,Ahmedabad,6:45 AM,AK342
IndiGo,"3,900",Mumbai,Bengaluru,6:15 AM,6.00E+156
Air India,"4,500",Mumbai,Bengaluru,1:45 PM,AI227
Vistara,"5,200",Mumbai,Bengaluru,11:30 AM,UK302
SpiceJet,"3,700",Mumbai,Bengaluru,7:15 PM,SG422
Akasa Air,"3,200",Mumbai,Bengaluru,8:00 AM,AK128
Go First,"4,000",Delhi,Kolkata,5:30 AM,GF528
IndiGo,"3,600",Delhi,Kolkata,8:10 AM,6E412
SpiceJet,"3,500",Delhi,Kolkata,1:30 PM,SG501
AirAsia India,"3,200",Delhi,Kolkata,4:20 PM,I5164
Vistara,"5,000",Delhi,Kolkata,9:45 PM,UK617
IndiGo,"2,900",Chennai,Hyderabad,5:00 PM,6.00E+215
Air India,"3,500",Chennai,Hyderabad,11:30 AM,AI315
SpiceJet,"2,800",Chennai,Hyderabad,9:00 PM,SG221
Go First,"3,000",Chennai,Hyderabad,7:20 AM,GF417
Akasa Air,"2,900",Chennai,Hyderabad,6:40 PM,AK141
IndiGo,"4,300",Ahmedabad,Bengaluru,2:40 PM,6.00E+172
Vistara,"5,200",Ahmedabad,Bengaluru,10:00 AM,UK412
SpiceJet,"4,000",Ahmedabad,Bengaluru,7:15 AM,SG103
Air India,"4,800",Ahmedabad,Bengaluru,8:30 PM,AI243
